kecamatan,periode,jumlah_kasus,tahun,bulan,nama_bulan,musim
Ciracas,2019-03-01,64,2019,3,March,Pancaroba I
Ciracas,2019-04-01,34,2019,4,April,Pancaroba I
Ciracas,2019-05-01,79,2019,5,May,Pancaroba I
Ciracas,2019-06-01,42,2019,6,June,Musim Kemarau
Ciracas,2019-07-01,21,2019,7,July,Musim Kemarau
Ciracas,2019-08-01,5,2019,8,August,Musim Kemarau
Ciracas,2019-09-01,0,2019,9,September,Pancaroba II
Ciracas,2019-10-01,1,2019,10,October,Pancaroba II
Ciracas,2019-11-01,3,2019,11,November,Pancaroba II
Ciracas,2019-12-01,5,2019,12,December,Musim Hujan
Ciracas,2020-01-01,10,2020,1,January,Musim Hujan
Ciracas,2020-02-01,12,2020,2,February,Musim Hujan
Ciracas,2020-03-01,25,2020,3,March,Pancaroba I
Ciracas,2020-04-01,10,2020,4,April,Pancaroba I
Ciracas,2020-05-01,22,2020,5,May,Pancaroba I
Ciracas,2020-06-01,9,2020,6,June,Musim Kemarau
Ciracas,2020-07-01,7,2020,7,July,Musim Kemarau
Ciracas,2020-08-01,8,2020,8,August,Musim Kemarau
Ciracas,2020-09-01,2,2020,9,September,Pancaroba II
Ciracas,2020-10-01,3,2020,10,October,Pancaroba II
Ciracas,2020-11-01,7,2020,11,November,Pancaroba II
Ciracas,2020-12-01,18,2020,12,December,Musim Hujan
Ciracas,2021-01-01,12,2021,1,January,Musim Hujan
Ciracas,2021-02-01,10,2021,2,February,Musim Hujan
Ciracas,2021-03-01,7,2021,3,March,Pancaroba I
Ciracas,2021-04-01,10,2021,4,April,Pancaroba I
Ciracas,2021-05-01,26,2021,5,May,Pancaroba I
Ciracas,2021-06-01,8,2021,6,June,Musim Kemarau
Ciracas,2021-07-01,3,2021,7,July,Musim Kemarau
Ciracas,2021-08-01,8,2021,8,August,Musim Kemarau
Ciracas,2021-09-01,2,2021,9,September,Pancaroba II
Ciracas,2021-10-01,2,2021,10,October,Pancaroba II
Ciracas,2021-11-01,4,2021,11,November,Pancaroba II
Ciracas,2021-12-01,6,2021,12,December,Musim Hujan
Ciracas,2022-01-01,13,2022,1,January,Musim Hujan
Ciracas,2022-02-01,13,2022,2,February,Musim Hujan
Ciracas,2022-03-01,9,2022,3,March,Pancaroba I
Ciracas,2022-04-01,23,2022,4,April,Pancaroba I
Ciracas,2022-05-01,24,2022,5,May,Pancaroba I
Ciracas,2022-06-01,28,2022,6,June,Musim Kemarau
Ciracas,2022-07-01,29,2022,7,July,Musim Kemarau
Ciracas,2022-08-01,19,2022,8,August,Musim Kemarau
Ciracas,2022-09-01,16,2022,9,September,Pancaroba II
Ciracas,2022-10-01,15,2022,10,October,Pancaroba II
Ciracas,2022-11-01,13,2022,11,November,Pancaroba II
Ciracas,2022-12-01,12,2022,12,December,Musim Hujan
Ciracas,2023-01-01,17,2023,1,January,Musim Hujan
Ciracas,2023-02-01,4,2023,2,February,Musim Hujan
Ciracas,2023-03-01,6,2023,3,March,Pancaroba I
Ciracas,2023-04-01,11,2023,4,April,Pancaroba I
Ciracas,2023-05-01,11,2023,5,May,Pancaroba I
Ciracas,2023-06-01,2,2023,6,June,Musim Kemarau
Ciracas,2023-07-01,8,2023,7,July,Musim Kemarau
Ciracas,2023-08-01,6,2023,8,August,Musim Kemarau
Ciracas,2023-09-01,4,2023,9,September,Pancaroba II
Ciracas,2023-10-01,4,2023,10,October,Pancaroba II
Ciracas,2023-11-01,4,2023,11,November,Pancaroba II
Ciracas,2023-12-01,2,2023,12,December,Musim Hujan
Ciracas,2024-01-01,7,2024,1,January,Musim Hujan
Ciracas,2024-02-01,37,2024,2,February,Musim Hujan
Ciracas,2024-03-01,66,2024,3,March,Pancaroba I
Ciracas,2024-04-01,88,2024,4,April,Pancaroba I
Ciracas,2024-05-01,92,2024,5,May,Pancaroba I
Ciracas,2024-06-01,37,2024,6,June,Musim Kemarau
Ciracas,2024-07-01,27,2024,7,July,Musim Kemarau
Ciracas,2024-08-01,6,2024,8,August,Musim Kemarau
Ciracas,2024-09-01,9,2024,9,September,Pancaroba II
Ciracas,2024-10-01,6,2024,10,October,Pancaroba II
Ciracas,2024-11-01,7,2024,11,November,Pancaroba II
Ciracas,2024-12-01,11,2024,12,December,Musim Hujan
Ciracas,2025-01-01,16,2025,1,January,Musim Hujan
Ciracas,2025-02-01,17,2025,2,February,Musim Hujan
Ciracas,2025-03-01,19,2025,3,March,Pancaroba I
Ciracas,2025-04-01,27,2025,4,April,Pancaroba I
Ciracas,2025-05-01,31,2025,5,May,Pancaroba I
Ciracas,2025-06-01,26,2025,6,June,Musim Kemarau
Ciracas,2025-07-01,42,2025,7,July,Musim Kemarau
Ciracas,2025-08-01,25,2025,8,August,Musim Kemarau
Ciracas,2025-09-01,13,2025,9,September,Pancaroba II
Ciracas,2025-10-01,20,2025,10,October,Pancaroba II
Ciracas,2025-11-01,17,2025,11,November,Pancaroba II
Ciracas,2025-12-01,17,2025,12,December,Musim Hujan
Duren Sawit,2010-01-01,72,2010,1,January,Musim Hujan
Duren Sawit,2010-02-01,101,2010,2,February,Musim Hujan
Duren Sawit,2010-03-01,108,2010,3,March,Pancaroba I
Duren Sawit,2010-04-01,114,2010,4,April,Pancaroba I
Duren Sawit,2010-05-01,71,2010,5,May,Pancaroba I
Duren Sawit,2010-06-01,30,2010,6,June,Musim Kemarau
Duren Sawit,2010-07-01,48,2010,7,July,Musim Kemarau
Duren Sawit,2010-08-01,60,2010,8,August,Musim Kemarau
Duren Sawit,2010-09-01,62,2010,9,September,Pancaroba II
Duren Sawit,2010-10-01,47,2010,10,October,Pancaroba II
Duren Sawit,2010-11-01,92,2010,11,November,Pancaroba II
Duren Sawit,2010-12-01,65,2010,12,December,Musim Hujan
Duren Sawit,2011-01-01,84,2011,1,January,Musim Hujan
Duren Sawit,2011-02-01,53,2011,2,February,Musim Hujan
Duren Sawit,2011-03-01,37,2011,3,March,Pancaroba I
Duren Sawit,2011-04-01,23,2011,4,April,Pancaroba I
Duren Sawit,2011-05-01,20,2011,5,May,Pancaroba I
Duren Sawit,2011-06-01,27,2011,6,June,Musim Kemarau
Duren Sawit,2011-07-01,20,2011,7,July,Musim Kemarau
Duren Sawit,2011-08-01,23,2011,8,August,Musim Kemarau
Duren Sawit,2011-09-01,15,2011,9,September,Pancaroba II
Duren Sawit,2011-10-01,10,2011,10,October,Pancaroba II
Duren Sawit,2011-11-01,13,2011,11,November,Pancaroba II
Duren Sawit,2011-12-01,17,2011,12,December,Musim Hujan
Duren Sawit,2012-01-01,18,2012,1,January,Musim Hujan
Duren Sawit,2012-02-01,42,2012,2,February,Musim Hujan
Duren Sawit,2012-03-01,44,2012,3,March,Pancaroba I
Duren Sawit,2012-04-01,51,2012,4,April,Pancaroba I
Duren Sawit,2012-05-01,37,2012,5,May,Pancaroba I
Duren Sawit,2012-06-01,30,2012,6,June,Musim Kemarau
Duren Sawit,2012-07-01,37,2012,7,July,Musim Kemarau
Duren Sawit,2012-08-01,14,2012,8,August,Musim Kemarau
Duren Sawit,2012-09-01,11,2012,9,September,Pancaroba II
Duren Sawit,2012-10-01,6,2012,10,October,Pancaroba II
Duren Sawit,2012-11-01,4,2012,11,November,Pancaroba II
Duren Sawit,2012-12-01,12,2012,12,December,Musim Hujan
Duren Sawit,2013-01-01,33,2013,1,January,Musim Hujan
Duren Sawit,2013-02-01,57,2013,2,February,Musim Hujan
Duren Sawit,2013-03-01,79,2013,3,March,Pancaroba I
Duren Sawit,2013-04-01,103,2013,4,April,Pancaroba I
Duren Sawit,2013-05-01,77,2013,5,May,Pancaroba I
Duren Sawit,2013-06-01,69,2013,6,June,Musim Kemarau
Duren Sawit,2013-07-01,60,2013,7,July,Musim Kemarau
Duren Sawit,2013-08-01,79,2013,8,August,Musim Kemarau
Duren Sawit,2013-09-01,41,2013,9,September,Pancaroba II
Duren Sawit,2013-10-01,13,2013,10,October,Pancaroba II
Duren Sawit,2013-11-01,12,2013,11,November,Pancaroba II
Duren Sawit,2013-12-01,5,2013,12,December,Musim Hujan
Duren Sawit,2014-01-01,41,2014,1,January,Musim Hujan
Duren Sawit,2014-02-01,70,2014,2,February,Musim Hujan
Duren Sawit,2014-03-01,73,2014,3,March,Pancaroba I
Duren Sawit,2014-04-01,36,2014,4,April,Pancaroba I
Duren Sawit,2014-05-01,36,2014,5,May,Pancaroba I
Duren Sawit,2014-06-01,28,2014,6,June,Musim Kemarau
Duren Sawit,2014-07-01,12,2014,7,July,Musim Kemarau
Duren Sawit,2014-08-01,12,2014,8,August,Musim Kemarau
Duren Sawit,2014-09-01,13,2014,9,September,Pancaroba II
Duren Sawit,2014-10-01,7,2014,10,October,Pancaroba II
Duren Sawit,2014-11-01,0,2014,11,November,Pancaroba II
Duren Sawit,2014-12-01,4,2014,12,December,Musim Hujan
Duren Sawit,2015-01-01,15,2015,1,January,Musim Hujan
Duren Sawit,2015-02-01,23,2015,2,February,Musim Hujan
Duren Sawit,2015-03-01,51,2015,3,March,Pancaroba I
Duren Sawit,2015-04-01,39,2015,4,April,Pancaroba I
Duren Sawit,2015-05-01,21,2015,5,May,Pancaroba I
Duren Sawit,2015-06-01,29,2015,6,June,Musim Kemarau
Duren Sawit,2015-07-01,14,2015,7,July,Musim Kemarau
Duren Sawit,2015-08-01,7,2015,8,August,Musim Kemarau
Duren Sawit,2015-09-01,3,2015,9,September,Pancaroba II
Duren Sawit,2015-10-01,2,2015,10,October,Pancaroba II
Duren Sawit,2015-11-01,2,2015,11,November,Pancaroba II
Duren Sawit,2015-12-01,6,2015,12,December,Musim Hujan
Duren Sawit,2016-01-01,45,2016,1,January,Musim Hujan
Duren Sawit,2016-02-01,114,2016,2,February,Musim Hujan
Duren Sawit,2016-03-01,184,2016,3,March,Pancaroba I
Duren Sawit,2016-04-01,237,2016,4,April,Pancaroba I
Duren Sawit,2016-05-01,109,2016,5,May,Pancaroba I
Duren Sawit,2016-06-01,91,2016,6,June,Musim Kemarau
Duren Sawit,2016-07-01,41,2016,7,July,Musim Kemarau
Duren Sawit,2016-08-01,56,2016,8,August,Musim Kemarau
Duren Sawit,2016-09-01,39,2016,9,September,Pancaroba II
Duren Sawit,2016-10-01,20,2016,10,October,Pancaroba II
Duren Sawit,2016-11-01,32,2016,11,November,Pancaroba II
Duren Sawit,2016-12-01,28,2016,12,December,Musim Hujan
Duren Sawit,2017-01-01,29,2017,1,January,Musim Hujan
Duren Sawit,2017-02-01,22,2017,2,February,Musim Hujan
Duren Sawit,2017-03-01,29,2017,3,March,Pancaroba I
Duren Sawit,2017-04-01,26,2017,4,April,Pancaroba I
Duren Sawit,2017-05-01,27,2017,5,May,Pancaroba I
Duren Sawit,2017-06-01,14,2017,6,June,Musim Kemarau
Duren Sawit,2017-07-01,11,2017,7,July,Musim Kemarau
Duren Sawit,2017-08-01,9,2017,8,August,Musim Kemarau
Duren Sawit,2017-09-01,5,2017,9,September,Pancaroba II
Duren Sawit,2017-10-01,13,2017,10,October,Pancaroba II
Duren Sawit,2017-11-01,4,2017,11,November,Pancaroba II
Duren Sawit,2017-12-01,1,2017,12,December,Musim Hujan
Duren Sawit,2018-01-01,6,2018,1,January,Musim Hujan
Duren Sawit,2018-02-01,7,2018,2,February,Musim Hujan
Duren Sawit,2018-03-01,10,2018,3,March,Pancaroba I
Duren Sawit,2018-04-01,13,2018,4,April,Pancaroba I
Duren Sawit,2018-05-01,35,2018,5,May,Pancaroba I
Duren Sawit,2018-06-01,19,2018,6,June,Musim Kemarau
Duren Sawit,2018-07-01,8,2018,7,July,Musim Kemarau
Duren Sawit,2018-08-01,1,2018,8,August,Musim Kemarau
Duren Sawit,2018-09-01,1,2018,9,September,Pancaroba II
Duren Sawit,2018-10-01,3,2018,10,October,Pancaroba II
Duren Sawit,2018-11-01,3,2018,11,November,Pancaroba II
Duren Sawit,2018-12-01,9,2018,12,December,Musim Hujan
Duren Sawit,2019-01-01,32,2019,1,January,Musim Hujan
Duren Sawit,2019-02-01,33,2019,2,February,Musim Hujan
Duren Sawit,2019-03-01,53,2019,3,March,Pancaroba I
Duren Sawit,2019-04-01,62,2019,4,April,Pancaroba I
Duren Sawit,2019-05-01,107,2019,5,May,Pancaroba I
Duren Sawit,2019-06-01,39,2019,6,June,Musim Kemarau
Duren Sawit,2019-07-01,13,2019,7,July,Musim Kemarau
Duren Sawit,2019-08-01,1,2019,8,August,Musim Kemarau
Duren Sawit,2019-09-01,1,2019,9,September,Pancaroba II
Duren Sawit,2019-10-01,2,2019,10,October,Pancaroba II
Duren Sawit,2019-11-01,2,2019,11,November,Pancaroba II
Duren Sawit,2019-12-01,7,2019,12,December,Musim Hujan
Duren Sawit,2020-01-01,9,2020,1,January,Musim Hujan
Duren Sawit,2020-02-01,25,2020,2,February,Musim Hujan
Duren Sawit,2020-03-01,43,2020,3,March,Pancaroba I
Duren Sawit,2020-04-01,85,2020,4,April,Pancaroba I
Duren Sawit,2020-05-01,35,2020,5,May,Pancaroba I
Duren Sawit,2020-06-01,17,2020,6,June,Musim Kemarau
Duren Sawit,2020-07-01,1,2020,7,July,Musim Kemarau
Duren Sawit,2020-08-01,2,2020,8,August,Musim Kemarau
Duren Sawit,2020-09-01,1,2020,9,September,Pancaroba II
Duren Sawit,2020-10-01,0,2020,10,October,Pancaroba II
Duren Sawit,2020-11-01,0,2020,11,November,Pancaroba II
Duren Sawit,2020-12-01,0,2020,12,December,Musim Hujan
Duren Sawit,2021-01-01,2,2021,1,January,Musim Hujan
Duren Sawit,2021-02-01,3,2021,2,February,Musim Hujan
Duren Sawit,2021-03-01,3,2021,3,March,Pancaroba I
Duren Sawit,2021-04-01,27,2021,4,April,Pancaroba I
Duren Sawit,2021-05-01,26,2021,5,May,Pancaroba I
Duren Sawit,2021-06-01,5,2021,6,June,Musim Kemarau
Duren Sawit,2021-07-01,7,2021,7,July,Musim Kemarau
Duren Sawit,2021-08-01,13,2021,8,August,Musim Kemarau
Duren Sawit,2021-09-01,5,2021,9,September,Pancaroba II
Duren Sawit,2021-10-01,4,2021,10,October,Pancaroba II
Duren Sawit,2021-11-01,5,2021,11,November,Pancaroba II
Duren Sawit,2021-12-01,13,2021,12,December,Musim Hujan
Duren Sawit,2022-01-01,21,2022,1,January,Musim Hujan
Duren Sawit,2022-02-01,28,2022,2,February,Musim Hujan
Duren Sawit,2022-03-01,46,2022,3,March,Pancaroba I
Duren Sawit,2022-04-01,56,2022,4,April,Pancaroba I
Duren Sawit,2022-05-01,53,2022,5,May,Pancaroba I
Duren Sawit,2022-06-01,42,2022,6,June,Musim Kemarau
Duren Sawit,2022-07-01,27,2022,7,July,Musim Kemarau
Duren Sawit,2022-08-01,19,2022,8,August,Musim Kemarau
Duren Sawit,2022-09-01,5,2022,9,September,Pancaroba II
Duren Sawit,2022-10-01,8,2022,10,October,Pancaroba II
Duren Sawit,2022-11-01,15,2022,11,November,Pancaroba II
Duren Sawit,2022-12-01,11,2022,12,December,Musim Hujan
Duren Sawit,2023-01-01,14,2023,1,January,Musim Hujan
Duren Sawit,2023-02-01,9,2023,2,February,Musim Hujan
Duren Sawit,2023-03-01,6,2023,3,March,Pancaroba I
Duren Sawit,2023-04-01,15,2023,4,April,Pancaroba I
Duren Sawit,2023-05-01,16,2023,5,May,Pancaroba I
Duren Sawit,2023-06-01,15,2023,6,June,Musim Kemarau
Duren Sawit,2023-07-01,15,2023,7,July,Musim Kemarau
Duren Sawit,2023-08-01,9,2023,8,August,Musim Kemarau
Duren Sawit,2023-09-01,4,2023,9,September,Pancaroba II
Duren Sawit,2023-10-01,4,2023,10,October,Pancaroba II
Duren Sawit,2023-11-01,2,2023,11,November,Pancaroba II
Duren Sawit,2023-12-01,2,2023,12,December,Musim Hujan
Duren Sawit,2024-01-01,3,2024,1,January,Musim Hujan
Duren Sawit,2024-02-01,13,2024,2,February,Musim Hujan
Duren Sawit,2024-03-01,37,2024,3,March,Pancaroba I
Duren Sawit,2024-04-01,82,2024,4,April,Pancaroba I
Duren Sawit,2024-05-01,103,2024,5,May,Pancaroba I
Duren Sawit,2024-06-01,32,2024,6,June,Musim Kemarau
Duren Sawit,2024-07-01,0,2024,7,July,Musim Kemarau
Duren Sawit,2024-08-01,4,2024,8,August,Musim Kemarau
Duren Sawit,2024-09-01,2,2024,9,September,Pancaroba II
Duren Sawit,2024-10-01,1,2024,10,October,Pancaroba II
Duren Sawit,2024-11-01,1,2024,11,November,Pancaroba II
Duren Sawit,2024-12-01,1,2024,12,December,Musim Hujan
Duren Sawit,2025-01-01,6,2025,1,January,Musim Hujan
Duren Sawit,2025-02-01,5,2025,2,February,Musim Hujan
Duren Sawit,2025-03-01,16,2025,3,March,Pancaroba I
Duren Sawit,2025-04-01,28,2025,4,April,Pancaroba I
Duren Sawit,2025-05-01,28,2025,5,May,Pancaroba I
Duren Sawit,2025-06-01,37,2025,6,June,Musim Kemarau
Duren Sawit,2025-07-01,47,2025,7,July,Musim Kemarau
Duren Sawit,2025-08-01,41,2025,8,August,Musim Kemarau
Duren Sawit,2025-09-01,12,2025,9,September,Pancaroba II
Duren Sawit,2025-10-01,10,2025,10,October,Pancaroba II
Duren Sawit,2025-11-01,5,2025,11,November,Pancaroba II
Duren Sawit,2025-12-01,6,2025,12,December,Musim Hujan
Gambir,2010-01-01,11,2010,1,January,Musim Hujan
Gambir,2010-02-01,14,2010,2,February,Musim Hujan
Gambir,2010-03-01,12,2010,3,March,Pancaroba I
Gambir,2010-04-01,16,2010,4,April,Pancaroba I
Gambir,2010-05-01,16,2010,5,May,Pancaroba I
Gambir,2010-06-01,11,2010,6,June,Musim Kemarau
Gambir,2010-07-01,7,2010,7,July,Musim Kemarau
Gambir,2010-08-01,11,2010,8,August,Musim Kemarau
Gambir,2010-09-01,8,2010,9,September,Pancaroba II
Gambir,2010-10-01,3,2010,10,October,Pancaroba II
Gambir,2010-11-01,15,2010,11,November,Pancaroba II
Gambir,2010-12-01,14,2010,12,December,Musim Hujan
Gambir,2011-01-01,4,2011,1,January,Musim Hujan
Gambir,2011-02-01,4,2011,2,February,Musim Hujan
Gambir,2011-03-01,3,2011,3,March,Pancaroba I
Gambir,2011-04-01,2,2011,4,April,Pancaroba I
Gambir,2011-05-01,3,2011,5,May,Pancaroba I
Gambir,2011-06-01,6,2011,6,June,Musim Kemarau
Gambir,2011-07-01,0,2011,7,July,Musim Kemarau
Gambir,2011-08-01,4,2011,8,August,Musim Kemarau
Gambir,2011-09-01,2,2011,9,September,Pancaroba II
Gambir,2011-10-01,3,2011,10,October,Pancaroba II
Gambir,2011-11-01,4,2011,11,November,Pancaroba II
Gambir,2011-12-01,3,2011,12,December,Musim Hujan
Gambir,2012-01-01,2,2012,1,January,Musim Hujan
Gambir,2012-02-01,6,2012,2,February,Musim Hujan
Gambir,2012-03-01,5,2012,3,March,Pancaroba I
Gambir,2012-04-01,4,2012,4,April,Pancaroba I
Gambir,2012-05-01,8,2012,5,May,Pancaroba I
Gambir,2012-06-01,4,2012,6,June,Musim Kemarau
Gambir,2012-07-01,5,2012,7,July,Musim Kemarau
Gambir,2012-08-01,3,2012,8,August,Musim Kemarau
Gambir,2012-09-01,3,2012,9,September,Pancaroba II
Gambir,2012-10-01,2,2012,10,October,Pancaroba II
Gambir,2012-11-01,1,2012,11,November,Pancaroba II
Gambir,2012-12-01,0,2012,12,December,Musim Hujan
Gambir,2013-01-01,1,2013,1,January,Musim Hujan
Gambir,2013-02-01,9,2013,2,February,Musim Hujan
Gambir,2013-03-01,7,2013,3,March,Pancaroba I
Gambir,2013-04-01,15,2013,4,April,Pancaroba I
Gambir,2013-05-01,5,2013,5,May,Pancaroba I
Gambir,2013-06-01,4,2013,6,June,Musim Kemarau
Gambir,2013-07-01,6,2013,7,July,Musim Kemarau
Gambir,2013-08-01,5,2013,8,August,Musim Kemarau
Gambir,2013-09-01,1,2013,9,September,Pancaroba II
Gambir,2013-10-01,2,2013,10,October,Pancaroba II
Gambir,2013-11-01,2,2013,11,November,Pancaroba II
Gambir,2013-12-01,1,2013,12,December,Musim Hujan
Gambir,2014-01-01,3,2014,1,January,Musim Hujan
Gambir,2014-02-01,4,2014,2,February,Musim Hujan
Gambir,2014-03-01,4,2014,3,March,Pancaroba I
Gambir,2014-04-01,2,2014,4,April,Pancaroba I
Gambir,2014-05-01,2,2014,5,May,Pancaroba I
Gambir,2014-06-01,1,2014,6,June,Musim Kemarau
Gambir,2014-07-01,1,2014,7,July,Musim Kemarau
Gambir,2014-08-01,1,2014,8,August,Musim Kemarau
Gambir,2014-09-01,5,2014,9,September,Pancaroba II
Gambir,2014-10-01,2,2014,10,October,Pancaroba II
Gambir,2014-11-01,0,2014,11,November,Pancaroba II
Gambir,2014-12-01,1,2014,12,December,Musim Hujan
Gambir,2015-01-01,0,2015,1,January,Musim Hujan
Gambir,2015-02-01,1,2015,2,February,Musim Hujan
Gambir,2015-03-01,9,2015,3,March,Pancaroba I
Gambir,2015-04-01,5,2015,4,April,Pancaroba I
Gambir,2015-05-01,5,2015,5,May,Pancaroba I
Gambir,2015-06-01,1,2015,6,June,Musim Kemarau
Gambir,2015-07-01,0,2015,7,July,Musim Kemarau
Gambir,2015-08-01,0,2015,8,August,Musim Kemarau
Gambir,2015-09-01,1,2015,9,September,Pancaroba II
Gambir,2015-10-01,0,2015,10,October,Pancaroba II
Gambir,2015-11-01,1,2015,11,November,Pancaroba II
Gambir,2015-12-01,0,2015,12,December,Musim Hujan
Gambir,2016-01-01,5,2016,1,January,Musim Hujan
Gambir,2016-02-01,11,2016,2,February,Musim Hujan
Gambir,2016-03-01,11,2016,3,March,Pancaroba I
Gambir,2016-04-01,15,2016,4,April,Pancaroba I
Gambir,2016-05-01,14,2016,5,May,Pancaroba I
Gambir,2016-06-01,7,2016,6,June,Musim Kemarau
Gambir,2016-07-01,6,2016,7,July,Musim Kemarau
Gambir,2016-08-01,2,2016,8,August,Musim Kemarau
Gambir,2016-09-01,7,2016,9,September,Pancaroba II
Gambir,2016-10-01,6,2016,10,October,Pancaroba II
Gambir,2016-11-01,3,2016,11,November,Pancaroba II
Gambir,2016-12-01,2,2016,12,December,Musim Hujan
Gambir,2017-01-01,2,2017,1,January,Musim Hujan
Gambir,2017-02-01,2,2017,2,February,Musim Hujan
Gambir,2017-03-01,2,2017,3,March,Pancaroba I
Gambir,2017-04-01,0,2017,4,April,Pancaroba I
Gambir,2017-05-01,1,2017,5,May,Pancaroba I
Gambir,2017-06-01,1,2017,6,June,Musim Kemarau
Gambir,2017-07-01,0,2017,7,July,Musim Kemarau
Gambir,2017-08-01,0,2017,8,August,Musim Kemarau
Gambir,2017-09-01,0,2017,9,September,Pancaroba II
Gambir,2017-10-01,1,2017,10,October,Pancaroba II
Gambir,2017-11-01,0,2017,11,November,Pancaroba II
Gambir,2017-12-01,0,2017,12,December,Musim Hujan
Gambir,2018-01-01,0,2018,1,January,Musim Hujan
Gambir,2018-02-01,1,2018,2,February,Musim Hujan
Gambir,2018-03-01,2,2018,3,March,Pancaroba I
Gambir,2018-04-01,0,2018,4,April,Pancaroba I
Gambir,2018-05-01,2,2018,5,May,Pancaroba I
Gambir,2018-06-01,0,2018,6,June,Musim Kemarau
Gambir,2018-07-01,0,2018,7,July,Musim Kemarau
Gambir,2018-08-01,0,2018,8,August,Musim Kemarau
Gambir,2018-09-01,0,2018,9,September,Pancaroba II
Gambir,2018-10-01,0,2018,10,October,Pancaroba II
Gambir,2018-11-01,1,2018,11,November,Pancaroba II
Gambir,2018-12-01,0,2018,12,December,Musim Hujan
Gambir,2019-01-01,1,2019,1,January,Musim Hujan
Gambir,2019-02-01,5,2019,2,February,Musim Hujan
Gambir,2019-03-01,13,2019,3,March,Pancaroba I
Gambir,2019-04-01,7,2019,4,April,Pancaroba I
Gambir,2019-05-01,4,2019,5,May,Pancaroba I
Gambir,2019-06-01,2,2019,6,June,Musim Kemarau
Gambir,2019-07-01,2,2019,7,July,Musim Kemarau
Gambir,2019-08-01,0,2019,8,August,Musim Kemarau
Gambir,2019-09-01,0,2019,9,September,Pancaroba II
Gambir,2019-10-01,0,2019,10,October,Pancaroba II
Gambir,2019-11-01,0,2019,11,November,Pancaroba II
Gambir,2019-12-01,0,2019,12,December,Musim Hujan
Gambir,2020-01-01,0,2020,1,January,Musim Hujan
Gambir,2020-02-01,7,2020,2,February,Musim Hujan
Gambir,2020-03-01,4,2020,3,March,Pancaroba I
Gambir,2020-04-01,5,2020,4,April,Pancaroba I
Gambir,2020-05-01,3,2020,5,May,Pancaroba I
Gambir,2020-06-01,0,2020,6,June,Musim Kemarau
Gambir,2020-07-01,0,2020,7,July,Musim Kemarau
Gambir,2020-08-01,0,2020,8,August,Musim Kemarau
Gambir,2020-09-01,0,2020,9,September,Pancaroba II
Gambir,2020-10-01,0,2020,10,October,Pancaroba II
Gambir,2020-11-01,0,2020,11,November,Pancaroba II
Gambir,2020-12-01,0,2020,12,December,Musim Hujan
Gambir,2021-01-01,0,2021,1,January,Musim Hujan
Gambir,2021-02-01,0,2021,2,February,Musim Hujan
Gambir,2021-03-01,1,2021,3,March,Pancaroba I
Gambir,2021-04-01,0,2021,4,April,Pancaroba I
Gambir,2021-05-01,1,2021,5,May,Pancaroba I
Gambir,2021-06-01,1,2021,6,June,Musim Kemarau
Gambir,2021-07-01,0,2021,7,July,Musim Kemarau
Gambir,2021-08-01,1,2021,8,August,Musim Kemarau
Gambir,2021-09-01,0,2021,9,September,Pancaroba II
Gambir,2021-10-01,1,2021,10,October,Pancaroba II
Gambir,2021-11-01,0,2021,11,November,Pancaroba II
Gambir,2021-12-01,0,2021,12,December,Musim Hujan
Gambir,2022-01-01,2,2022,1,January,Musim Hujan
Gambir,2022-02-01,1,2022,2,February,Musim Hujan
Gambir,2022-03-01,2,2022,3,March,Pancaroba I
Gambir,2022-04-01,3,2022,4,April,Pancaroba I
Gambir,2022-05-01,1,2022,5,May,Pancaroba I
Gambir,2022-06-01,4,2022,6,June,Musim Kemarau
Gambir,2022-07-01,3,2022,7,July,Musim Kemarau
Gambir,2022-08-01,4,2022,8,August,Musim Kemarau
Gambir,2022-09-01,2,2022,9,September,Pancaroba II
Gambir,2022-10-01,1,2022,10,October,Pancaroba II
Gambir,2022-11-01,0,2022,11,November,Pancaroba II
Gambir,2022-12-01,1,2022,12,December,Musim Hujan
Gambir,2023-01-01,1,2023,1,January,Musim Hujan
Gambir,2023-02-01,2,2023,2,February,Musim Hujan
Gambir,2023-03-01,0,2023,3,March,Pancaroba I
Gambir,2023-04-01,2,2023,4,April,Pancaroba I
Gambir,2023-05-01,1,2023,5,May,Pancaroba I
Gambir,2023-06-01,2,2023,6,June,Musim Kemarau
Gambir,2023-07-01,1,2023,7,July,Musim Kemarau
Gambir,2023-08-01,0,2023,8,August,Musim Kemarau
Gambir,2023-09-01,0,2023,9,September,Pancaroba II
Gambir,2023-10-01,0,2023,10,October,Pancaroba II
Gambir,2023-11-01,0,2023,11,November,Pancaroba II
Gambir,2023-12-01,0,2023,12,December,Musim Hujan
Gambir,2024-01-01,1,2024,1,January,Musim Hujan
Gambir,2024-02-01,1,2024,2,February,Musim Hujan
Gambir,2024-03-01,8,2024,3,March,Pancaroba I
Gambir,2024-04-01,8,2024,4,April,Pancaroba I
Gambir,2024-05-01,5,2024,5,May,Pancaroba I
Gambir,2024-06-01,0,2024,6,June,Musim Kemarau
Gambir,2024-07-01,1,2024,7,July,Musim Kemarau
Gambir,2024-08-01,1,2024,8,August,Musim Kemarau
Gambir,2024-09-01,0,2024,9,September,Pancaroba II
Gambir,2024-10-01,0,2024,10,October,Pancaroba II
Gambir,2024-11-01,0,2024,11,November,Pancaroba II
Gambir,2024-12-01,0,2024,12,December,Musim Hujan
